2026-01-17 00:25:40.238 [main] INFO  com.sky.SkyApplication - Starting SkyApplication using Java 17.0.12 on Zsh with PID 4720 (D:\ZSH-ComputerScience\CangQiong\sky-take-out\sky-take-out\sky-server\target\classes started by asus in D:\ZSH-ComputerScience\CangQiong\sky-take-out\sky-take-out)
2026-01-17 00:25:40.239 [main] INFO  com.sky.SkyApplication - The following 1 profile is active: "dev"
2026-01-17 00:25:40.993 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-17 00:25:40.996 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-17 00:25:41.027 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18 ms. Found 0 Redis repository interfaces.
2026-01-17 00:25:41.712 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-01-17 00:25:41.713 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.3.1] using APR version [1.7.4].
2026-01-17 00:25:41.713 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2026-01-17 00:25:41.713 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2026-01-17 00:25:41.717 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 3.0.14 4 Jun 2024]
2026-01-17 00:25:41.725 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-17 00:25:41.725 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2026-01-17 00:25:41.838 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-01-17 00:25:41.839 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1560 ms
2026-01-17 00:25:41.909 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2026-01-17 00:25:42.020 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2026-01-17 00:25:42.068 [main] INFO  com.sky.config.MyBatisPlusConfig - 开始注册MyBatis-Plus的拦截器...
2026-01-17 00:25:42.198 [main] WARN  c.b.mybatisplus.core.injector.methods.Update - [com.sky.mapper.CategoryMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2026-01-17 00:25:42.253 [main] WARN  c.b.mybatisplus.core.injector.methods.Update - [com.sky.mapper.DishMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2026-01-17 00:25:42.272 [main] WARN  c.b.mybatisplus.core.injector.methods.Update - [com.sky.mapper.EmployeeMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2026-01-17 00:25:42.317 [main] WARN  c.b.mybatisplus.core.injector.methods.Update - [com.sky.mapper.SetmealMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2026-01-17 00:25:42.480 [main] INFO  com.sky.config.AliyunOssConfig - 开始创建阿里云OSS文件上传工具对象...
2026-01-17 00:25:42.656 [main] INFO  com.sky.config.RedisConfig - 开始创建Redis模板对象...
2026-01-17 00:25:43.007 [main] INFO  com.sky.config.WebMvcConfig - 开始注册自定义拦截器...
2026-01-17 00:25:43.084 [main] INFO  com.sky.config.WebMvcConfig - 准备生成管理端接口文档...
2026-01-17 00:25:43.088 [main] INFO  com.sky.config.WebMvcConfig - 准备生成用户端接口文档...
2026-01-17 00:25:43.119 [main] INFO  com.sky.config.WebMvcConfig - 扩展消息转换器...
2026-01-17 00:25:43.123 [main] INFO  com.sky.config.WebMvcConfig - 开始设置静态资源映射...
2026-01-17 00:25:43.545 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-01-17 00:25:43.936 [main] INFO  com.sky.SkyApplication - Started SkyApplication in 4.107 seconds (JVM running for 5.014)
2026-01-17 00:25:43.938 [main] INFO  com.sky.SkyApplication - server starts ...
