2026-01-16 16:26:31.993 [main] INFO  com.sky.SkyApplication - Starting SkyApplication using Java 17.0.12 on Zsh with PID 15840 (D:\ZSH-ComputerScience\CangQiong\sky-take-out\sky-take-out\sky-server\target\classes started by asus in D:\ZSH-ComputerScience\CangQiong\sky-take-out\sky-take-out)
2026-01-16 16:26:31.995 [main] INFO  com.sky.SkyApplication - The following 1 profile is active: "dev"
2026-01-16 16:26:32.991 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-16 16:26:32.994 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-16 16:26:33.034 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16 ms. Found 0 Redis repository interfaces.
2026-01-16 16:26:33.835 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-01-16 16:26:33.836 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.3.1] using APR version [1.7.4].
2026-01-16 16:26:33.836 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2026-01-16 16:26:33.836 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2026-01-16 16:26:33.850 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 3.0.14 4 Jun 2024]
2026-01-16 16:26:33.859 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-16 16:26:33.860 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2026-01-16 16:26:33.970 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-01-16 16:26:33.971 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1928 ms
2026-01-16 16:26:34.049 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2026-01-16 16:26:34.171 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2026-01-16 16:26:34.238 [main] INFO  com.sky.config.MyBatisPlusConfig - 开始注册MyBatis-Plus的拦截器...
2026-01-16 16:26:34.427 [main] WARN  c.b.mybatisplus.core.injector.methods.Update - [com.sky.mapper.CategoryMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2026-01-16 16:26:34.487 [main] WARN  c.b.mybatisplus.core.injector.methods.Update - [com.sky.mapper.DishMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2026-01-16 16:26:34.514 [main] WARN  c.b.mybatisplus.core.injector.methods.Update - [com.sky.mapper.EmployeeMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2026-01-16 16:26:34.556 [main] WARN  c.b.mybatisplus.core.injector.methods.Update - [com.sky.mapper.SetmealMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2026-01-16 16:26:34.797 [main] INFO  com.sky.config.AliyunOssConfig - 开始创建阿里云OSS文件上传工具对象...
2026-01-16 16:26:35.038 [main] INFO  com.sky.config.RedisConfig - 开始创建Redis模板对象...
2026-01-16 16:26:35.441 [main] INFO  com.sky.config.WebMvcConfig - 开始注册自定义拦截器...
2026-01-16 16:26:35.541 [main] INFO  com.sky.config.WebMvcConfig - 准备生成管理端接口文档...
2026-01-16 16:26:35.552 [main] INFO  com.sky.config.WebMvcConfig - 准备生成用户端接口文档...
2026-01-16 16:26:35.606 [main] INFO  com.sky.config.WebMvcConfig - 扩展消息转换器...
2026-01-16 16:26:35.614 [main] INFO  com.sky.config.WebMvcConfig - 开始设置静态资源映射...
2026-01-16 16:26:36.151 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-01-16 16:26:36.576 [main] INFO  com.sky.SkyApplication - Started SkyApplication in 5.131 seconds (JVM running for 5.942)
2026-01-16 16:26:36.578 [main] INFO  com.sky.SkyApplication - server starts ...
2026-01-16 16:26:40.268 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-01-16 16:26:40.269 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-01-16 16:26:40.270 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-01-16 16:26:40.324 [http-nio-8080-exec-1] INFO  com.sky.controller.admin.EmployeeController - 员工登录：EmployeeLoginDTO(username=admin, password=123456)
2026-01-16 16:26:40.536 [http-nio-8080-exec-1] DEBUG com.sky.mapper.EmployeeMapper.selectList - ==>  Preparing: SELECT id,username,name,password,phone,sex,id_number,status,create_time,create_user,update_time,update_user FROM employee WHERE (username = ?)
2026-01-16 16:26:40.554 [http-nio-8080-exec-1] DEBUG com.sky.mapper.EmployeeMapper.selectList - ==> Parameters: admin(String)
2026-01-16 16:26:40.613 [http-nio-8080-exec-1] DEBUG com.sky.mapper.EmployeeMapper.selectList - <==      Total: 1
2026-01-16 16:26:40.720 [http-nio-8080-exec-7] INFO  com.sky.interceptor.JwtTokenInterceptor - jwt校验: eyJhbGciOiJIUzI1NiJ9.eyJlbXBJZCI6MSwiZXhwIjoxNzY5MjcyMDAwfQ._bbClYFVQ9BDF2L5Vble2dvD9x4t1FtlcEzesGbshi4
2026-01-16 16:26:40.720 [http-nio-8080-exec-4] INFO  com.sky.interceptor.JwtTokenInterceptor - jwt校验: eyJhbGciOiJIUzI1NiJ9.eyJlbXBJZCI6MSwiZXhwIjoxNzY5MjcyMDAwfQ._bbClYFVQ9BDF2L5Vble2dvD9x4t1FtlcEzesGbshi4
2026-01-16 16:26:40.734 [http-nio-8080-exec-7] INFO  com.sky.interceptor.JwtTokenAdminInterceptor - id=1的员工登入苍穹外卖管理端

2026-01-16 16:26:40.734 [http-nio-8080-exec-4] INFO  com.sky.interceptor.JwtTokenAdminInterceptor - id=1的员工登入苍穹外卖管理端

2026-01-16 16:26:40.817 [http-nio-8080-exec-7] INFO  com.sky.controller.admin.OrderController - 订单分页查询，参数为：OrderPageQueryDTO(page=1, pageSize=10, number=null, phone=null, status=2, beginTime=null, endTime=null, userId=null)

2026-01-16 16:26:40.927 [http-nio-8080-exec-7] DEBUG com.sky.mapper.OrderMapper.pageQuery_mpCount - ==>  Preparing: SELECT COUNT(*) AS total FROM orders WHERE status = ?
2026-01-16 16:26:40.928 [http-nio-8080-exec-7] DEBUG com.sky.mapper.OrderMapper.pageQuery_mpCount - ==> Parameters: 2(Integer)
2026-01-16 16:26:40.941 [http-nio-8080-exec-7] DEBUG com.sky.mapper.OrderMapper.pageQuery_mpCount - <==      Total: 1
2026-01-16 16:26:40.949 [http-nio-8080-exec-2] WARN  org.springframework.web.servlet.PageNotFound - No mapping for GET /admin/workspace/businessData
2026-01-16 16:26:40.961 [http-nio-8080-exec-5] WARN  org.springframework.web.servlet.PageNotFound - No mapping for GET /admin/workspace/overviewOrders
